car,price,link
MINI Countryman,"113,800",https://www.carlist.my/used-cars/2014-mini-countryman-1-6-cooper-s-all4-suv/7718340
,"49,900",https://www.carlist.my/used-cars/2016-citroen-ds3-1-6-sport-vti-a-full-spec-facelift/7862507
,"184,888",https://www.carlist.my/used-cars/2015-lexus-is200t-2-0-luxury-sedan-super-low-mileage-72km-full-servise-record-lexus-with-warranty/7858696
Toyota Vios,"51,800",https://www.carlist.my/used-cars/2015-toyota-vios-1-5-e-a-one-owner/7857021
Volkswagen Golf,"44,900",https://www.carlist.my/used-cars/2013-volkswagen-golf-1-4-tsi-mk6-a-sunroof-hi-spec-warranty/7145240
Nissan Almera,"32,800",https://www.carlist.my/used-cars/2015-nissan-almera-1-5-a-36k-mileage-only-tip-top/7750456
,"116,899",https://www.carlist.my/used-cars/2014-mini-5-door-2-0-cooper-s-hatchback/7250382
Audi A4,"73,800",https://www.carlist.my/used-cars/2013-audi-a4-1-8-tfsi-s-line/7815716
Toyota Vellfire,"115,999",https://www.carlist.my/used-cars/toyota-vellfire-2-4-z-platinum-modellista-body-kit-mpv-2power-door-1power-boot-sunroof-one-owner/6641952
BMW 520i,"149,900",https://www.carlist.my/used-cars/2017-bmw-520i-2-0-m-sport-facelift-full-spec-528i-m-sport-sedan/7815627
,"323,000",https://www.carlist.my/recon-cars/2017-mercedes-benz-e43-amg-3-0-matic-biturbo-performance-panroof-burmester-sounds-full-spec-unreg/7175972
Mercedes-Benz C200,"140,900",https://www.carlist.my/used-cars/2015-mercedes-benz-c200-2-0-amg-full-spec/7799272
Volkswagen Golf,"43,800",https://www.carlist.my/used-cars/2011-volkswagen-golf-1-4-tsi-a-mk6/7735857
MINI Cooper,"86,800",https://www.carlist.my/used-cars/2012-mini-cooper-1-6-s-a-coutryman-all-4-jcw/7204665
,"199,000",https://www.carlist.my/recon-cars/2017-mercedes-benz-slc200-2-0-convertible-amg-line-turbo-panroof-unreg/7730937
Honda Civic,"35,900",https://www.carlist.my/used-cars/2014-honda-civic-1-5-i-vtec-hybrid-sedan-a-full-spec/7620267
Mercedes-Benz E200,"197,900",https://www.carlist.my/used-cars/2018-mercedes-benz-e200-2-0-avantgarde-a-e250-amg-full-spec/7454886
MINI Clubman,"149,000",https://www.carlist.my/recon-cars/2016-mini-clubman-2-0-turbo-japan-spec-interior-seat-like-new-unregistered/7793152
Ford Kuga,"41,800",https://www.carlist.my/used-cars/2015-ford-kuga-1-6-ecoboost-titanium-suv-full-service-record-one-onwer-accident-free/7764603
MINI Countryman,"139,000",https://www.carlist.my/recon-cars/2016-mini-countryman-1-6l-turbo-japan-unregistered/7793829
Nissan JUKE,"69,888",https://www.carlist.my/used-cars/2012-2015-nissan-juke-1-6-gt-hatchback-under-warranty-low-mileage-carefull-owner-warranty-extend-available-t-c/7787930
Ford Mustang,"265,000",https://www.carlist.my/recon-cars/2018-ford-mustang-2-3-ecoboost-fast-back-edition-body-strips-new-condition-unreg/7786741
BMW 328i,"118,900",https://www.carlist.my/used-cars/2014-bmw-328i-2-0-m-sport-sedan-full-service-record/7759713
Toyota Mark X,"79,999",https://www.carlist.my/used-cars/2012-2016-toyota-mark-x-2-5-g-sedan-import-japan-1-owner-tip-top-foc-1-year-warranty-puchong-dealer/7771934
Mazda 2,"49,900",https://www.carlist.my/used-cars/2016-mazda-2-1-5-skyactiv-g-hatchback-full-service-record/7776893
Mercedes-Benz C200,"145,900",https://www.carlist.my/used-cars/2016-mercedes-benz-c200-2-0-amg-sedan-w205-full-spec/7756852
Honda CR-V,"111,999",https://www.carlist.my/used-cars/2018-honda-cr-v-1-5-vtec-turbo-tc-suv-leather-seat-full-servies-by-honda-5xk-km-under-warrenty/7178259
Kia Sorento,"49,900",https://www.carlist.my/used-cars/2015-kia-sorento-xm-2-4-suv-full-service-record/7731024
Proton Inspira,"36,900",https://www.carlist.my/used-cars/2015-proton-inspira-2-0-premium-high-spec-a/7435819
Lexus RX270,"95,999",https://www.carlist.my/used-cars/2011-lexus-rx270-2-7-suv-confort-suv-free-6-month-warranty-high-loan-105k-power-boot/7082827
Mazda 3,"68,900",https://www.carlist.my/used-cars/2017-mazda-3-2-0-skyactiv-g-high-sedan-facelift/7752588
BMW 528i,"80,999",https://www.carlist.my/used-cars/2012-bmw-528i-2-0-m-sport-sedan-one-tan-sri-owner-original-m-sport-2-0-turbo-engine-low-mileage/7398889
,"159,900",https://www.carlist.my/used-cars/2015-porsche-cayenne-3-6-v6-a-suv-facelift-high-spec/7728062
Land Rover Range Rover Evoque,"159,900",https://www.carlist.my/used-cars/2015-land-rover-range-rover-evoque-2-0-si4-dynamic-suv-cobra-seat/7725016
Volkswagen Golf,"36,800",https://www.carlist.my/used-cars/volkswagen-golf-1-4-tsi-a-mk6-all-problem-can-apply-loan-here-ccris-ctos-blacklist-akpk-ptptn-saa-semua-masalah-boleh-buat-loan-kedai/7718512
Mazda CX-9,"69,900",https://www.carlist.my/used-cars/2015-mazda-cx-9-3-7-facelift-a-sunroof-keyless-full-spec/7455051
MINI Cooper,"82,900",https://www.carlist.my/used-cars/2013-mini-cooper-s-1-6-sport-jcw-cbu-facelift-full-spec/7666106
Ford Mustang,"238,000",https://www.carlist.my/recon-cars/low-mileage-2017-ford-mustang-2-3-shaker-sound-best-in-town-offer-unreg/7465339
Toyota Alphard,"253,000",https://www.carlist.my/recon-cars/5-year-warranty-with-unlimited-aggregrated-claims-2018-toyota-alphard-2-5-s-pre-crash-system-lane-assist-sensor-power-boot-360-surround-camera-dvd-monitor-free-2-years-warranty/7284253
Porsche 718,"299,000",https://www.carlist.my/recon-cars/2017-porsche-718-2-0-cayman-coupe-beige-interior-japan-unreg/6958110
Mercedes-Benz E300,"338,888",https://www.carlist.my/recon-cars/2018-mercedes-benz-e300-2-0-amg-a/7915423
Audi Q5,"69,888",https://www.carlist.my/used-cars/2011-audi-q5-2-0-tfsi-quattro-s-line-local-superb-low-mileage-65k-km-2012/7913777
Toyota Estima,"92,500",https://www.carlist.my/used-cars/2011-2015-toyota-estima-2-4-a-aeras-facelift-mpv-king-2-power-door/7913618
Mercedes-Benz E200,"196,888",https://www.carlist.my/used-cars/2016-mercedes-benz-e200-2-0-amg-a-sedan-digital-meter-1-year-warranty/7905920
Mazda 3,"73,999",https://www.carlist.my/used-cars/2017-mazda-3-2-0-skyactiv-g-high-sedan-a-gls-warranty-full-service-mazda-call-now/7903676
,"146,999",https://www.carlist.my/recon-cars/2018-honda-jade-1-5-rs-mpv/7883679
Land Rover Range Rover Evoque,"149,888",https://www.carlist.my/used-cars/2014-land-rover-range-rover-evoque-2-0-si4-dynamic-plus-suv-9-speed-surround-camera-full-service-record-2015/7242920
Audi A5,"108,888",https://www.carlist.my/used-cars/2012-audi-a5-2-0-tfsi-quattro-full-s-line-black-edition-coupe-panomaric-roof-dual-electric-seat-b-o-2013-2014/7135659
MINI 3 Door,"108,000",https://www.carlist.my/recon-cars/2016-mini-5-door-1-2l-turbo-jp-unreg/7793092
Ford Mustang,"238,000",https://www.carlist.my/recon-cars/2017-ford-mustang-2-3-coupe-ecoboost-australia-spec-unregistered/7793048
Nissan Sylphy,"21,826",https://www.carlist.my/used-cars/2010-nissan-sylphy-2-0-comfort-sedan/7706939
Hyundai Santa Fe,"73,000",https://www.carlist.my/used-cars/2014-hyundai-santa-fe-a-2-2-crdi-elegance/7801626
Mitsubishi Triton,"79,800",https://www.carlist.my/used-cars/2017-mitsubishi-triton-2-4-vgt-pickup-truck/7717304
Mitsubishi Triton,"51,800",https://www.carlist.my/used-cars/2013-mitsubishi-triton-2-5-pickup-truck/7716698
Toyota Hilux,"58,800",https://www.carlist.my/used-cars/2011-toyota-hilux-2-5-g-pickup-truck/7810863
Mitsubishi Triton,"34,800",https://www.carlist.my/used-cars/2012-mitsubishi-triton-2-5/7746229
